Membership No  Date Joined  Active  
    11446      2015-3-10    no    
    70098      2017-1-18    no    
    88177      2018-5-20    no    
    61343      2018-8-1     no    
    78142      2020-2-24    no    
    40463      2015-1-8     no    
    34732      2019-10-13   no    
    53380      2020-8-6     no    
    59160      2020-6-3     no    
    11526      2016-10-16   no    
    98058      2019-7-23    no    
    35178      2016-11-15   no    
    25610      2020-8-16    no    
    23128      2019-9-1     no    
