Membership No  Date Joined  Active  
    62795      2020-3-24    no    
    98681      2020-11-18   no    
    28261      2019-12-12   no    
    34210      2017-2-9     yes   
    18026      2016-10-12   yes   
    88638      2017-2-9     yes   
    62706      2020-11-7    yes   
    38962      2019-10-21   yes   
    60671      2020-3-24    no    
    85954      2018-4-19    yes   
    29030      2015-1-18    yes   
    90049      2019-3-7     yes   
    53254      2019-12-2    no    
    53000      2015-11-16   yes   
    18926      2015-11-16   no    
    48752      2017-8-22    yes   
    32728      2019-4-10    no    
    79500      2015-3-24    yes   
    80475      2019-9-2     yes   
    39070      2017-12-8    yes   
